cluster_id,n_comments,ftc_termset,entropy_overlap,dominant_topic,dominant_topic_terms,cluster_top_terms,example_comment
0,8,"komitmen, sekolah",0.209457,2,"rakyat, anak, bukti, pihak, kuat","mbg, program, makan, gizi, gratis, anak, sekolah, komitmen, hadir, langsung",baca selengkapnya kepala bpom taruna ikrar menegaskan bpom menjalankan tugas pengawasan dalam program makan bergizi gratis sesuai ketentuan peraturan presiden nomor pengawasan tersebut mencakup bahan baku penyiapan distribusi hingga mitigasi
1,8,"agung, kepala",0.311842,0,"korupsi, kelola, perintah, duga, tata","bgn, gizi, kepala, mbg, jaksa, agung, korupsi, makan, gratis, jagung",projek makan bergizi gratis untuk pelajar sekolah pun gagal prabowo ni dia cekap bab berjoget atas pentas lepas habis pidato je lahhhhhh tak caya tanya orang indonesia guys…
2,8,"anak, prabowo",0.383221,3,"anak, dukung, prabowo, aksi, presiden","makan, gratis, mbg, program, gizi, prabowo, anak, presiden, sekolah, amp",makan bergizi gratis bukan hanya memberi makan tapi juga menguatkan ekonomi keluarga dan membangun masa depan indonesia yang lebih sehat cerdas dan sejahtera
3,8,"agung, kelola",0.392702,0,"korupsi, kelola, perintah, duga, tata","gizi, jaksa, agung, duga, korupsi, tata, kelola, mbg, makan, gratis",makan bergizi gratis adalah investasi untuk masa depan indonesia anakanak yang mendapatkan asupan gizi yang baik memiliki peluang lebih besar untuk tumbuh sehat belajar lebih optimal dan menjadi generasi unggul mari dukung bersama agar manfaatnya dirasakan semakin luas
4,8,"aksi, monas",0.399233,3,"anak, dukung, prabowo, aksi, presiden","aksi, gizi, mbg, program, monas, makan, gratis, lanjut, gelar, jakarta",generasi sehat adalah fondasi indonesia yang maju program makan bergizi gratis layak mendapat dukungan karena membantu memastikan anakanak memperoleh asupan yang berkualitas sekaligus menjadi upaya bersama dalam menciptakan masa depan yang lebih baik bagi bangsa
5,8,"ekonomi, generasi",0.403666,1,"dukung, anak, desa, penuh, ekonomi","gizi, ekonomi, program, makan, gratis, generasi, gerak, mbg, tani, umkm",programprogram pemerintah yang saat ini sedang dijalankan menunjukkan komitmen yang kuat untuk membangun indonesia secara lebih menyeluruh inisiatif seperti program makan bergizi gratis mbg sekolah rakyat hingga koperasi merah putih mencerminkan upaya pemerintah dalam
6,8,"anak, rakyat",0.415076,2,"rakyat, anak, bukti, pihak, kuat","mbg, rakyat, makan, program, gizi, gratis, anak, pihak, bukti, sekolah",program makan bergizi gratis tidak hanya menjamin kecukupan gizi anakanak tapi juga berkontribusi mencetak generasi unggul menuju indonesia emas
7,8,"tingkat, umkm",0.448972,0,"korupsi, kelola, perintah, duga, tata","gizi, mbg, umkm, program, makan, gratis, tingkat, tani, lokal, ekonomi",jangan gampang kemakan isu hoax yang bilang makan bergizi gratis mbg itu cuma buangbuang anggaran faktanya program ini justru hadir langsung buat mencukupi gizi anakanak kita bikin mereka lebih fokus belajar di sekolah
8,8,"dukung, sehat",0.476215,1,"dukung, anak, desa, penuh, ekonomi","gizi, dukung, program, makan, gratis, sehat, cerdas, mbg, generasi, indonesia",program makan bergizi gratis mampu mengurangi angka stunting dan kekurangan gizi sekaligus membuka peluang masa depan yang lebih baik bagi setiap anak
9,8,"ekonomi, penuh",0.516887,1,"dukung, anak, desa, penuh, ekonomi","gizi, mbg, ekonomi, makan, gratis, penuh, desa, program, gerak, koperasi",opini boleh berbeda tetapi semangat membangun indonesia harus tetap menjadi tujuan bersama di tengah berbagai dinamika dan penolakan dari sebagian kelompok dukungan masyarakat terhadap program makan bergizi gratis mbg terus mengalir dari berbagai daerah
10,8,"dukung, sppg",0.517145,2,"rakyat, anak, bukti, pihak, kuat","gizi, dukung, makan, gratis, mbg, sppg, program, satu, pematangsiantar, layan",baca di sini libur sekolah membuat operasional dapur program makan bergizi gratis mbg ikut dihentikan sementara hingga juli akibatnya puluhan relawan satuan pelayanan pemenuhan gizi sppg di kota malang kehilangan pekerjaan harian dan harus
11,8,"masyarakat, penuh",0.522377,2,"rakyat, anak, bukti, pihak, kuat","gizi, program, masyarakat, penuh, makan, gratis, butuh, mbg, anak, hamil",makan bergizi minus gratis hari ini grilled chicken with mushroom sauce pan grilled carrots with beans organic rice kalian hari ini makan siang apa
12,8,"desa, merah",0.548774,1,"dukung, anak, desa, penuh, ekonomi","desa, program, gratis, makan, gizi, mbg, merah, koperasi, putih, masyarakat",program makan bergizi gratis di jambi serap bahan pangan lokal untuk perkuat gizi anak amp ekonomi desa
13,8,"dukung, ribu",0.56242,0,"korupsi, kelola, perintah, duga, tata","dukung, ribu, program, makan, mbg, gizi, gratis, jalan, turun, ajar",mbg makan bergizi gratis dr om abi
14,8,"investasi, sehat",0.566839,1,"dukung, anak, desa, penuh, ekonomi","gizi, makan, gratis, investasi, sehat, mbg, anak, generasi, depan, makanbergizigratis",moratorium dan perombakan total program makan bergizi gratis mbg tandatangani petisi lewat
15,8,"gratis, wakil",0.580747,0,"korupsi, kelola, perintah, duga, tata","makan, gizi, gratis, wakil, program, mbg, perintah, ketua, komisi, dpr",pidato prabowo pagi ini “tokohtokoh kepolisian aktif di semua sektor kenegaraan” “polri membantu secara aktif dan mendukung dalam menentukan programprogram strategis seperti program makan bergizi gratis” berarti secara ngga langsung membenarkan kalo mereka ‘berbisnis’ juga
16,8,"mbg, tingkat",0.596055,1,"dukung, anak, desa, penuh, ekonomi","gizi, program, mbg, tingkat, makan, gratis, lapar, presiden, prabowo, masyarakat",wakil ketua dpr ri saan mustopa meminta badan gizi nasional bgn untuk memaksimalkan penyerapan hasil produksi para petani hingga produkproduk usaha mikro kecil dan menengah umkm untuk program makan bergizi gratis mbg
17,9,"gizi, nelayan",0.603801,3,"anak, dukung, prabowo, aksi, presiden","mbg, prabowo, gizi, tani, nelayan, program, makan, gratis, presiden, subianto",program makan bergizi gratis mbg nasional masih menghadapi tantangan serius mulai dari sasaran penerima yang kurang tepat manajemen rantai pasok yang kurang transparan hingga standar gizi dan keamanan pangan yang belum optimal pemerintah tengah berupaya restrukturisasi sist
18,8,"gizi, subianto",0.569518,3,"anak, dukung, prabowo, aksi, presiden","program, prabowo, gizi, makan, gratis, presiden, subianto, mbg, manfaat, nilai",kawan pajak tahukah kamu kalau program makan bergizi gratis mbg juga berkontribusi terhadap penerimaan pajak
19,8,"badan, mbg",0.627872,0,"korupsi, kelola, perintah, duga, tata","gizi, program, badan, mbg, makan, gratis, nasional, bgn, duga, kelola",sikooontl bisanya mikir kesana bilang biar pemerintah ga bekerja sndiri dengan anggaran yg ada lah duit lu sndiri aja sana pake yg dipake slama ini udah uang rakyat blok msh mau malakin lg bgst lu bilangnya makan bergizi gratis nyet
20,22,"bukti, ekonomi",0.661501,2,"rakyat, anak, bukti, pihak, kuat","mbg, rakyat, bukti, pihak, kecil, makan, gizi, gratis, investasi, kualitas",makan bergizi gratis adalah investasi untuk masa depan indonesia anakanak yang mendapatkan asupan gizi yang baik memiliki peluang lebih besar untuk tumbuh sehat belajar lebih optimal dan menjadi generasi unggul mari dukung bersama agar manfaatnya dirasakan semakin luas
21,8,"mbg, sehat",0.681693,3,"anak, dukung, prabowo, aksi, presiden","gizi, makan, program, gratis, mbg, sehat, tbc, budi, gunadi, usul",nan
22,8,"masyarakat, mbg",0.723044,1,"dukung, anak, desa, penuh, ekonomi","program, gizi, makan, gratis, mbg, masyarakat, kait, lanjut, usul, bantu",program makan bergizi gratis tidak hanya membantu memenuhi kebutuhan gizi anak tetapi juga menggerakkan ekonomi rakyat dengan melibatkan petani peternak nelayan dan umkm lokal dalam rantai pasok program ini menciptakan manfaat yang dirasakan dari hulu hingga hilir
23,8,"gizi, tumbuh",0.744556,1,"dukung, anak, desa, penuh, ekonomi","program, makan, gizi, gratis, tumbuh, dukung, kembang, anak, perintah, optimal",program makan bergizi gratis tidak hanya menjamin kecukupan gizi anakanak tapi juga berkontribusi mencetak generasi unggul menuju indonesia emas
24,8,"gratis, kelola",0.739059,0,"korupsi, kelola, perintah, duga, tata","program, makan, gizi, gratis, kelola, tata, anggar, evaluasi, pbnu, cilacap",pemerintah siapkan skema khusus makan bergizi gratis mbg untuk pastikan pemenuhan gizi masyarakat di wilayah t dapat terjangkau secara merata dan efektif
25,8,"nilai, program",0.785673,0,"korupsi, kelola, perintah, duga, tata","program, gizi, nilai, makan, gratis, mbg, laksana, manfaat, optimal, evaluasi",zulkifli hasan mendorong agar kebutuhan program makan bergizi gratis diprioritaskan berasal dari koperasi desa sehingga ekonomi desa semakin tumbuh masyarakat lokal semakin sejahtera
26,8,"gratis, satu",0.819039,0,"korupsi, kelola, perintah, duga, tata","gizi, makan, gratis, satu, program, mbg, layan, sppg, bgn, kabupaten",program makan bergizi gratis tidak hanya menjamin kecukupan gizi anakanak tapi juga berkontribusi mencetak generasi unggul menuju indonesia emas
27,8,"anak, harap",0.827311,3,"anak, dukung, prabowo, aksi, presiden","makan, anak, gizi, gratis, harap, daerah, pencil, program, penuhigiziindonesia, pesantren",efisiensi yang tepat membuat program makan bergizi gratis semakin efektif transparan dan tepat sasaran untuk mendukung generasi sehat indonesia
28,8,"mbg, nasional",0.851656,0,"korupsi, kelola, perintah, duga, tata","program, mbg, nasional, makan, gizi, gratis, uu, perintah, prioritas, sidang",program makan bergizi gratis mampu mengurangi angka stunting dan kekurangan gizi sekaligus membuka peluang masa depan yang lebih baik bagi setiap anak
29,8,"cerdas, program",0.851675,1,"dukung, anak, desa, penuh, ekonomi","gizi, program, makan, gratis, cerdas, anak, indonesia, penuh, imbang, mari",ekonomi rakyat kembali dikejutkan dengan dugaan korupsi dalam program makan bergizi gratis mbg sebagai hidangan penutup dpr mengesahkan ruu polri dengan pembahasan yang begitu cepat sehingga memunculkan banyak pertanyaan dari publik juni memang telah usai namun yang
30,8,"mbg, sorot",0.858391,1,"dukung, anak, desa, penuh, ekonomi","program, mbg, prabowo, sorot, makan, gizi, gratis, tuju, andal, sebut",bukti anak papua bisa monitoring makan bergizi gratis kini lebih transparan dan akurat papua maju ayo sebarkan
31,8,"bgn, gratis",0.910671,1,"dukung, anak, desa, penuh, ekonomi","bgn, makan, gizi, gratis, mbg, program, jagaindonesia, dialogbukankonfrontasi, korupsi, dukung",makan bergizi gratis bukan sekadar bantuan tapi investasi jangka panjang untuk mencetak generasi sehat cerdas dan tangguh demi indonesia maju
32,8,"ekonomi, program",0.939302,1,"dukung, anak, desa, penuh, ekonomi","ekonomi, program, makan, gizi, gratis, lokal, tingkat, daerah, baca, sini",program makan bergizi gratis terus disempurnakan agar manfaatnya semakin tepat sasaran mendukung terwujudnya generasi indonesia yang lebih sehat cerdas dan berkualitas
33,8,"program, tingkat",0.855716,0,"korupsi, kelola, perintah, duga, tata","gizi, program, makan, gratis, tingkat, dukung, manfaat, langkah, pbnu, perintah",keren banget nih aplikasi buatan anak asli nabire ini jadi bukti nyata papua maju dalam mengawal program makan bergizi gratis secara realtime
34,9,"program, sekolah",0.990943,3,"anak, dukung, prabowo, aksi, presiden","gizi, sekolah, program, makan, gratis, anak, mbg, dapur, daerah, perintah",makan bergizi gratis adalah langkah pasti menuju masa depan yang lebih cerah bagi setiap anak indonesia
35,9,"aksi, mbg",1.015714,3,"anak, dukung, prabowo, aksi, presiden","aksi, mbg, program, makan, gizi, gratis, dukung, massa, demo, mahasiswa",tv korsel soroti program makan bergizi gratis yang berujung keracunan massal pengawasan lemah manajemen amburadul anggaran melayang
36,8,"bangsa, gizi",1.049725,2,"rakyat, anak, bukti, pihak, kuat","makan, gizi, gratis, bangsa, anak, nyata, penuhigiziindonesia, program, desa, gunung",kejaksaan agung kejagung menetapkan eks kepala badan gizi nasional dadan hindayana sebagai tersangka kasus korupsi penyimpangan tata kelola program makan bergizi gratis mbg
37,8,"nyata, program",0.967732,3,"anak, dukung, prabowo, aksi, presiden","mbg, makan, program, gizi, gratis, nyata, makanbergizigratis, anak, manfaat, riau",protein penuh anak cerdas makmur ✅ program makan bergizi gratis penuhi kebutuhan nutrisi protein agar anak tumbuh sehat cerdas dan siap meraih masa depan
38,8,"gizi, jalan",1.110349,3,"anak, dukung, prabowo, aksi, presiden","jalan, gizi, makan, gratis, program, mbg, pajak, kawan, tahu, kontribusi",makan bergizi gratis membawa keceriaan dan kesehatan bagi generasi penerus kita dengan kesehatan yang terjaga dan fokus belajar yang lebih baik mereka siap menyongsong masa depan yang cerah program ini adalah investasi jangka panjang dengan dampak nasional mbg yang luar biasa
39,8,"anak, program",1.225487,2,"rakyat, anak, bukti, pihak, kuat","gizi, anak, program, makan, gratis, prestasi, penuh, indonesia, butuh, nutrisi",program makan bergizi gratis terus dibenahi agar tepat sasaran pemerintah berkomitmen sikat habis praktik tidak terpuji dalam pelaksanaan program demi lindungi hak gizi anak bangsa mari kawal terus tata kelola yang transparan dan akuntabel
40,8,"gratis, terima",1.326136,3,"anak, dukung, prabowo, aksi, presiden","gizi, terima, makan, gratis, program, pajak, mbg, tbc, kelompok, kawan",makan bergizi gratis mbg dan koperasi desa merah putih kdmp hingga buruknya tata kelola regulasi yang tumpang tindih dan penuh dengan ketidakpastian hukum
41,8,"gizi, hadir",1.337397,1,"dukung, anak, desa, penuh, ekonomi","gizi, gratis, makan, hadir, mbg, keluarga, anak, program, bancak, wujud",qodari evaluasi program mbg fokus pada tata kelola dan kualitas layanan jakarta – pemerintah terus melakukan evaluasi terhadap pelaksanaan program makan bergizi gratis mbg untuk memastikan program berjalan efektif efisien dan tepat sasaran kepala badan komunikasi
42,8,kait,1.691493,0,"korupsi, kelola, perintah, duga, tata","kait, gizi, motor, makan, program, gratis, jaksa, listrik, agung, badan",generasi sehat adalah fondasi indonesia yang maju program makan bergizi gratis layak mendapat dukungan karena membantu memastikan anakanak memperoleh asupan yang berkualitas sekaligus menjadi upaya bersama dalam menciptakan masa depan yang lebih baik bagi bangsa
43,8,indonesia,1.600033,3,"anak, dukung, prabowo, aksi, presiden","indonesia, gizi, makan, gratis, program, perintah, prabowo, pangan, proyek, swasembada",siapa bilang papua cuma bisa jadi penonton program pusat anak muda nabire membuktikan lewat aplikasi siap mbg bahwa mereka mampu menciptakan sistem tercanggih demi menyukseskan program makan bergizi gratis dari pemerintah ini bukti nyata papua maju
44,8,"dapur, gratis",1.524474,1,"dukung, anak, desa, penuh, ekonomi","makan, dapur, gratis, gizi, salur, henti, kejaksan, kubur, program, gak",mulai dari jaga stabilitas harga bahan pokok sampai sukseskan makan bergizi gratis polri terbukti andal dalam menyukseskan program strategis pemerintah
45,9,prabowo,1.616516,1,"dukung, anak, desa, penuh, ekonomi","prabowo, gizi, makan, gratis, lapar, presiden, mbg, tolak, gaji, bayar",makan bergizi gratis adalah investasi untuk masa depan indonesia anakanak yang mendapatkan asupan gizi yang baik memiliki peluang lebih besar untuk tumbuh sehat belajar lebih optimal dan menjadi generasi unggul mari dukung bersama agar manfaatnya dirasakan semakin luas
46,10,"perintah, program",1.868034,2,"rakyat, anak, bukti, pihak, kuat","program, perintah, makan, gizi, gratis, mbg, langkah, dpr, lapor, pusat",eks menkeu fuad bawazier prediksi program mbg makin sempurna di tahun ketiga jakarta — mantan menteri keuangan ri fuad bawazier menilai penyelenggaraan program makan bergizi gratis mbg yang dimulai pada awal tahun akan semakin matang pada tahun ketiga menurutnya program
47,10,"mbg, program",1.743867,1,"dukung, anak, desa, penuh, ekonomi","mbg, makan, gizi, gratis, program, sumatera, barat, rawan, daerah, unjuk",belakangan muncul anggapan bahwa efisiensi anggaran membuat porsi program makan bergizi gratis mbg berkurang faktanya efisiensi bukan berarti mengurangi manfaat yang diterima masyarakat
48,9,sekolah,2.185715,1,"dukung, anak, desa, penuh, ekonomi","sekolah, yg, gizi, makan, gratis, anak, ajar, penuh, siswa, wok",mbg makan bergizi gratis alhamdulillah enak terimakasih banyak
49,15,"dukung, program",2.70805,3,"anak, dukung, prabowo, aksi, presiden","dukung, program, makan, gizi, gratis, manfaatmakanbergizigratis, makanbergizigratis, papua, barat, daya",program makan bergizi gratis mbg dipantau melalui aplikasi lokal untuk memastikan pelaksanaannya transparan akuntabel dan tepat sasaran
50,14,"gratis, program",3.223619,1,"dukung, anak, desa, penuh, ekonomi","gizi, program, makan, gratis, rakyat, kepala, divhumas polri, aspirasi, warga, mohon",papua terus membuktikan kualitasnya anak muda nabire menghadirkan sistem monitoring realtime untuk mendukung program makan bergizi gratis inovasi dari timur untuk masa depan indonesia papua maju
51,49,gizi,14.035449,3,"anak, dukung, prabowo, aksi, presiden","gizi, makan, gratis, mbg, ga, gak, kasih, kuat, dukung, tbc",kehadiran polri di desadesa dan perbatasan terbukti membawa dampak besar bagi program makan bergizi gratis demi masa depan generasi bangsa
52,7,RESIDUAL_UNASSIGNED,0.0,3,"anak, dukung, prabowo, aksi, presiden","bem, mahasiswa, pc, amp, blitar, aksi, harga, ketua, fakultas, hukum",program makan bergizi gratis mampu mengurangi angka stunting dan kekurangan gizi sekaligus membuka peluang masa depan yang lebih baik bagi setiap anak
